"","duration","gross_adjusted","budget_adjusted","gross","budget","cast_facebook_likes","reviews","Metascore","imdbRating","imdbVotes","OscarWon","OtherWin","OscarNom","OtherNom","oldness"
"2481",96,18928039,39965217,14208384,3e+07,977,178,32,5.6,12003,0,0,0,1,16
"2482",97,509781,7811345,326308,5e+06,13718,106,48,6.1,6982,0,0,0,1,23
"2483",88,248094757,10411650,83400000,3500000,2726,561,78,7.8,178101,0,2,0,6,39
"2484",124,263631102,129814330,172620724,8.5e+07,23603,535,61,6.5,158649,0,7,2,10,22
"2485",100,30134398,33738062,23222861,2.6e+07,3742,99,32,4.5,12251,0,0,0,0,15
"2486",102,62992508,34636522,47285499,2.6e+07,3037,183,41,5.1,29069,0,0,0,4,16
"2487",110,7631944,50607094,5881504,3.9e+07,2972,126,36,5.3,6187,0,0,0,2,15
"2488",104,123657,5141491,108229,4500000,15860,275,36,5.9,33087,0,0,0,1,10
"2489",97,36759088,75261832,28328132,5.8e+07,9814,264,38,6.3,40452,0,0,0,1,15
"2490",100,63682038,136787476,60522097,1.3e+08,14168,1093,33,4.9,172665,0,3,0,8,6
"2491",107,18944250,13678748,18004225,1.3e+07,3004,237,48,5.7,30420,0,0,0,0,6
"2492",106,17998600,5177075,17382982,5e+06,2840,42,32,5.2,6961,0,0,0,0,5
"2493",81,30310758,25888160,22245861,1.9e+07,25489,951,83,7.7,156638,1,63,0,101,17
"2494",110,74745482,12811485,70011073,1.2e+07,146,565,40,6.5,61349,0,0,0,6,7
"2495",133,28784955,53209841,24343673,4.5e+07,5405,680,56,7.4,97669,0,2,1,16,12
"2496",90,174286110,48251969,108360000,3e+07,2203,237,45,6.3,176161,0,7,0,7,24
"2497",78,119445554,19847773,72217000,1.2e+07,2462,303,37,6.9,238704,0,5,0,5,25
"2498",121,76372318,76361371,50007168,5e+07,19139,218,52,6.7,43257,0,0,0,1,22
"2499",105,40052985,73666037,37516013,6.9e+07,8281,741,42,5.9,136864,0,0,0,1,7
"2500",125,88578528,40876042,65010106,3e+07,1556,829,85,7.2,113419,0,25,2,69,17
"2501",100,50360186,12942687,48637684,12500000,2800,132,62,6.1,18946,0,0,0,1,5
"2502",106,30582083,38140118,28064226,3.5e+07,561,353,25,5.1,69189,0,2,0,3,8
"2503",99,14605510,34063369,10719367,2.5e+07,28987,229,36,4.9,8352,0,0,0,1,17
"2504",146,108811535,138407679,78616689,1e+08,6217,2434,65,7.1,260370,0,16,2,67,18
"2505",101,56173314,14987882,41227069,1.1e+07,2436,1042,35,7.4,177721,0,4,0,2,17
"2506",107,6976926,20598319,4741987,1.4e+07,10368,161,70,6.6,7154,0,1,0,6,20
"2507",114,26897353,28991619,25977365,2.8e+07,15428,460,57,6.5,97660,0,0,0,1,5
"2508",90,38176906,20704635,35033759,1.9e+07,2462,254,61,6.3,59288,0,0,0,1,8
"2509",149,169828267,62490758,108706165,4e+07,31349,307,54,7.4,110720,0,7,0,11,23
"2510",91,19685005,42704949,18438149,4e+07,222,163,26,5.9,33828,0,0,0,3,7
